"transaction_date","contractor","transaction_id","title","amount","account_name"
"2023-01-06","McDonald's","b6b28fbf-48e7-414b-9dba-5b715b7cfd65","Personal especially piece lead member.","-60.60","Our account"
"2023-01-06","Kroger","29d11801-630c-4366-9a89-af43fe186c4c","Sister society security.","-248.68","My account"
"2023-01-06","HBO Max","d70573c5-4bec-4a21-ae86-c30f7d325f18","Explain nothing certainly poor baby.","-49.39","Our account"
"2023-01-06","AMC Theatres","eb5e7c63-76fd-43a3-8e88-18b9b8338e53","Father think reason parent kid television first.","-445.81","Our account"
"2023-01-08","HBO Max","5cff8c68-d950-40a3-9722-6d850e979021","Road lay condition total body true.","-51.40","My account"
"2023-01-09","Bank of Rome","477a470a-f71e-4a21-a86f-823b7270770b","Someone your open marriage large.","-954.13","Our account"
"2023-01-09","Walgreens Boots Alliance","878da02f-5a0e-4c7d-968d-049970bfd827","Make coach free company group everybody day.","-220.06","Our account"
"2023-01-10","Bank of Rome","8d3e14c9-82da-4060-bbbb-cbeac0535f61","Collection include be energy.","-941.66","My account"
"2023-01-10","Kroger","95e55414-ddbf-4f71-8d2a-bfbfe05ae4dd","Real her run sea special.","-106.74","Our account"
"2023-01-10","Kroger","5fc53592-93f7-4c76-94f6-c4efd7102de9","Seven call provide.","-152.38","Our account"
"2023-01-10","Safeway","4b47c14d-5701-4a67-b333-b922e3b90517","Apply tell listen once general.","-146.31","Our account"
"2023-01-11","Safeway","522d94fb-9d65-4172-8f09-ca344acfa6ad","For way brother live sport cultural.","-282.84","Our account"
"2023-01-11","Chipotle","a4a20b97-e291-426c-98a8-72adde2abde1","Machine might light establish task large.","-66.34","Our account"
"2023-01-12","Publix","fb50e28d-74da-4d4f-9d84-12ad66286cf7","Serve federal across seat painting sense.","-377.27","My account"
"2023-01-12","AMC Theatres","2758f65a-fce0-4477-971a-11e609d67d8a","Accept wide allow receive.","-787.88","My account"
"2023-01-12","LinkedIn Learning","287d9a4d-81f8-4679-812d-353ece7d54ac","Evidence able true whom maintain.","-289.13","Our account"
"2023-01-13","Verizon","a01c1b2a-4cd7-4d0d-b555-0a3172c20d73","If argue field the year small.","-513.36","Our account"
"2023-01-13","AMC Theatres","94c0019f-4e48-4d81-8250-0a1f697c73fa","Thought town together about bed clear.","-1014.97","My account"
"2023-01-13","Taco Bell","90cb73b0-a91c-44b0-976d-ca7b228041b6","Speak occur hour stock later.","-47.38","My account"
"2023-01-14","Publix","a97049f8-a81c-4207-a139-e734e2805b68","Might box weight well I growth involve.","-2.30","Our account"
"2023-01-14","Safeway","4b24a979-c59a-4096-9fee-417951718871","Play avoid five manager bring why agreement.","-257.40","My account"
"2023-01-14","Kroger","a7c94b80-6b7d-4159-ab46-68cb4608502d","Decision style item market during citizen happen.","-125.70","Our account"
"2023-01-14","Spotify","35d28620-6e38-436a-a803-71497d2571e8","True professor stuff even show him create.","-54.44","My account"
"2023-01-14","Disney+","89fbc6da-da8c-468c-8c04-5382b9fb56ac","Much style cost until next near.","-60.86","Our account"
"2023-01-15","Wayfair","837c74cb-fb6f-4bb3-a075-e68998809cc5","Another similar save happen machine.","-174.04","My account"
"2023-01-15","Bank of Rome","4057b2b0-8029-4d16-b621-a610122a6572","Exist election practice worry right.","-801.11","My account"
"2023-01-15","Subway","b71f35c0-9db3-40b2-93ce-0298d0fd894c","Compare along better relate anything bill note.","-68.93","Our account"
"2023-01-16","Disney+","675f7039-5aa3-447c-8cb7-756df407137b","Tonight day return nearly medical form model.","-47.91","Our account"
"2023-01-17","Trader Joe's","fb8669e8-0546-47ee-9ecc-4cd983a16969","Ever more anything system under wall.","-1.00","My account"
"2023-01-17","Safeway","0f355aa5-6e82-430a-9f71-bacf87263ee9","Walk like art decade hot teach prove.","-413.23","My account"
"2023-01-18","YouTube Premium","350e910a-8599-4121-8bca-ee182d948d75","Case capital mean development drop spring these.","-57.34","My account"
"2023-01-18","Walmart","0e46f18f-dd27-4248-9f3c-644aa2c3672f","Security able win occur.","-45.86","Our account"
"2023-01-18","Walmart","2691d650-b9bf-4618-9a1c-74580bc0463d","Need lose computer see put economy first not.","-96.89","My account"
"2023-01-18","IKEA","b00aafe5-7eee-451b-aa73-938520f76a73","Instead security box fast first past political.","-375.81","My account"
"2023-01-18","IKEA","7f9dd262-14f8-4b83-8eaa-1959fcb13067","Step energy data.","-146.69","Our account"
"2023-01-19","PlayStation Store","16052e9a-4324-4941-956a-e6638c576408","Avoid difficult budget rise throw.","-1010.56","My account"
"2023-01-19","Target","49403a3e-0579-45f1-810e-5435daca6e3e","Discussion short by issue career join artist.","-331.13","Our account"
"2023-01-19","Target","fefd4640-1d88-4b80-a909-c2b855f13787","Another stock like full.","-584.88","My account"
"2023-01-19","Aldi","d7c5f580-f414-4c89-8a6f-3633a3e686b3","Risk teacher say west consider.","-166.87","My account"
"2023-01-19","T-Mobile","f3f5b883-6df3-4ba5-846d-1d14063122b9","Whether small anything.","-472.91","Our account"
"2023-01-20","Trader Joe's","e3e87b4c-62b0-4d18-a4ff-f1a0180f8012","Yes them event star.","-260.87","Our account"
"2023-01-20","Whole Foods","a4fb74d6-2410-4390-8866-4fc4fc6f417c","Number true speech amount.","-397.34","Our account"
"2023-01-20","Subway","7ccab16b-52c0-4ea4-bee0-5570c94ba95f","Any near support everyone country.","-52.38","My account"
"2023-01-20","Aldi","a110a5a6-fa08-45ad-a84c-3077c4572db0","Join them thousand child market.","-550.42","My account"
"2023-01-20","Bank of Rome","73722b6d-41e6-4ddd-9ec5-a992d41f01c6","Discussion usually war purpose American.","-700.37","Our account"
"2023-01-20","Publix","99d4d701-7091-4c74-b46c-b0da93cbbf45","Maybe instead indicate career instead resource.","-538.47","Our account"
"2023-01-21","Subway","980024e0-5ef4-436e-a101-ec5200fc614a","Interview far sign shake fall.","-61.77","Our account"
"2023-01-21","CVS Pharmacy","48857983-b4e7-4e81-9066-a24813c48bff","Amount expert minute seem skill score.","-181.25","My account"
"2023-01-22","My Company","28efdbcf-9b75-405c-845e-4d8d8bf48d67","Develop can goal before. Consider land try cover.","30102.61","Our account"
"2023-01-22","Amazon Prime","c199d960-534d-4729-a8b2-f6d36dd6bcb1","Away certainly plan bar necessary individual.","-58.52","Our account"
"2023-01-22","Aldi","56a41fb4-af8a-4348-829d-987a11e36101","Play military arrive see real up.","-50.05","My account"
"2023-01-22","Whole Foods","907089de-f3b2-4f89-a4cc-39e311242d48","Society create everyone possible man.","-336.97","My account"
"2023-01-23","Publix","6058aba9-e3d0-4c8e-a1ee-53f148a40e13","Between everybody budget spend capital.","-293.63","My account"
"2023-01-23","Spectrum","27ae7205-3784-465b-bfd3-9a643a46a6a8","A analysis draw its. Where try purpose want.","-474.22","Our account"
"2023-01-24","Walmart","5f33a233-0dd6-4a25-9bd2-47305bd39724","Reflect fish for year. Black decide space.","-59.59","Our account"
"2023-01-24","Trader Joe's","b0c25f8b-6a25-4aa7-b581-fcebe358ff95","Design both hear office bad.","-162.74","My account"
"2023-01-24","Subway","a4c2c392-f857-4701-b693-ac6be55405fe","Boy which other rule least current.","-77.17","My account"
"2023-01-25","HBO Max","ab98bfab-0061-4ba4-bda4-1018c4f8ebad","Hair reduce bit today traditional tend inside.","-38.49","Our account"
"2023-01-25","Udemy","f85719d9-5d7a-4d23-98d0-cca5bdb57152","Land reveal think matter clear about budget.","-240.34","My account"
"2023-01-25","Safeway","91080d6c-16b0-4517-b9f4-284e331be375","No wonder drug interview time.","-289.91","My account"
"2023-01-25","Bank of Rome","22c5184d-1596-4208-8ae8-d9a185906382","Several stop from new degree try boy.","-857.53","My account"
"2023-01-25","Walmart","4f514842-54fd-41ef-aa10-c8d2c2078196","Choose arm must. View visit born sense.","-55.73","Our account"
"2023-01-26","Publix","3274c730-4858-46e2-8a83-4b8611862daa","Here why in practice establish go.","-182.03","My account"
"2023-01-27","Comcast (Xfinity)","df441d83-628a-419c-bb28-d26ce2f838e3","Receive watch source fine little example.","-547.11","Our account"
"2023-01-28","Target","15141be8-3557-49c1-a861-a93cc3b09d22","Condition party fact former manage.","-281.75","Our account"
"2023-01-28","Aldi","113addbd-278c-456b-a238-b892efe9db22","Wait find black.","-216.85","Our account"
"2023-01-29","AMC Theatres","c7c5bcc9-7eb6-4c31-b155-f542f0efff3a","Morning agree soldier memory.","-855.25","My account"
"2023-01-29","Taco Bell","a3a09afe-e983-42e0-adb7-850592860d7f","Property try mother see weight court.","-38.79","Our account"
"2023-01-29","Kroger","2db8881a-1180-4a98-baac-a1dc720f9b08","True much friend third.","-4.24","Our account"
"2023-01-29","HBO Max","ab9415c4-d0d8-496e-b475-222c530dd3f1","Character set billion test somebody.","-37.55","Our account"
"2023-01-29","Bank of Rome","71eabd65-1942-4bef-97cc-bc25972de4cc","Traditional ask especially worker according.","-1071.48","My account"
"2023-01-31","Walgreens","5d2ffe80-5b49-42b6-bcde-50741d8ea1da","Month join account very with each general.","-106.51","My account"
"2023-01-31","Walmart","6420ff07-8092-48c5-9035-b48bd47e706a","President manage security alone baby.","-6.53","My account"
"2023-01-31","McDonald's","e2532164-cd33-41b7-bddb-71682214e1bc","Either clearly if guess.","-27.55","My account"
"2023-01-31","Walmart","ae8024bd-6c4d-4cf9-a92d-441fc7ad17e0","Whom anyone hot care catch guess.","-505.24","Our account"
"2023-02-01","GameStop","91cc2661-4141-4d17-8dcc-0191b82a8dff","While bit sure culture field either must.","-308.97","Our account"
"2023-02-01","HBO Max","8d3c2064-cb23-4189-8d1f-2180dc4751e9","Subject source always over role garden reality.","-56.50","Our account"
"2023-02-01","Bank of Rome","b5e781ee-e1e1-4789-8b04-5a4fa28aaca3","Garden wind long.","-1060.13","Our account"
"2023-02-02","Coursera","2bafac7f-9e57-4c5c-b069-f001fe283b8f","Water southern any hundred. Decade trip stuff.","-699.24","Our account"
"2023-02-02","YouTube Premium","4c4e4139-80c6-44d1-9f93-cb05ca2ba427","Two affect particularly.","-41.52","My account"
"2023-02-02","Trader Joe's","04ccae3c-bd96-4bce-8644-8cb0b8810f1b","Current idea assume lot go campaign debate.","-199.78","Our account"
"2023-02-02","Kroger","7d51f26b-f285-49d0-8942-10794dd20d68","Agreement thus resource accept street.","-292.30","My account"
"2023-02-02","Bank of Rome","ddbfbbb1-f97a-4a36-a4de-aa2bd9fe361a","Pass whatever hotel. My heart so.","-1162.38","Our account"
"2023-02-02","Walmart","689ecdf8-fa74-42f0-ab2b-4f882ceab9fe","Me same hard back. For region loss gas.","-736.75","Our account"
"2023-02-03","Publix","2312659e-253d-4763-a449-03f7f5c123f1","Increase nature society past kitchen summer.","-95.73","Our account"
"2023-02-03","Udemy","45db54c5-dc17-44ac-b915-24ede5fffcbc","Husband chance by human forget.","-800.84","My account"
"2023-02-04","Chipotle","d63bd042-bf7f-47b3-9184-1fadc07cb963","Specific different reflect staff.","-52.48","Our account"
"2023-02-04","Kroger","c0137f78-17a1-486f-a87e-2eec4c9b9634","Tax enough something practice decade.","-155.12","Our account"
"2023-02-05","Target","dc33725f-819b-4615-86cb-61429e1e0ca6","In try start born media middle marriage.","-165.03","My account"
"2023-02-05","Walmart","8ae5758d-9b12-492f-a489-1e1681a12796","Interest serve from loss serious choice.","-281.97","Our account"
"2023-02-05","Netflix","c63b4157-a48e-4563-9cb9-5d76da39c3b8","Relationship know rule million.","-62.70","My account"
"2023-02-06","Subway","b6509910-7148-41f8-823d-7f720f97a6a1","Join career white seek successful where she.","-55.31","Our account"
"2023-02-07","Lowe's","d113566d-4076-417a-8ca1-b927eafe0db4","Show specific water already.","-330.39","My account"
"2023-02-07","PlayStation Store","55379410-a07f-4232-b965-c84339aec04d","Eight often center happen forget eat laugh.","-495.11","My account"
"2023-02-08","Bank of Rome","b444ede0-5e19-4fb1-a79c-6e4674d71615","Set population thank thank toward beat indeed.","-944.91","My account"
"2023-02-08","Lowe's","6b8f8d8f-c0d3-41c9-afbd-7d13004fb9a2","Machine seek style occur water attack would at.","-1269.71","Our account"
"2023-02-08","Target","b583160b-3130-40ee-871f-b4e403f631e9","Available benefit no society economy.","-294.64","My account"
"2023-02-08","Apple Music","85a7b744-a9aa-4d5e-b1f8-731938896aa1","Respond bed major hit explain realize many.","-47.69","Our account"
"2023-02-09","Wayfair","d511e5d8-7974-4db2-b397-c99c8fc3d532","Firm perform top drive too player.","-746.43","Our account"
"2023-02-10","Walgreens Boots Alliance","ff6adbbb-4342-459a-a6b4-62c041d5174c","Reason last think few edge cause third.","-325.67","Our account"
"2023-02-10","Wayfair","dfbe4249-b9dc-40d2-8757-946a22115969","Thank the thousand Mrs anyone reality event.","-716.44","My account"
"2023-02-10","Bank of Rome","9370d22f-1b67-4863-b0fb-53aa25b4dc8b","Partner response question whatever line rich.","-943.27","My account"
"2023-02-11","McDonald's","d1a7d636-ea0b-49e9-bb74-0be8d61253f2","Throughout which get.","-29.35","My account"
"2023-02-11","Coursera","1e394ee7-d3c4-4b8f-ac67-eea82d1aa936","Same attention back control degree.","-641.49","Our account"
"2023-02-11","Whole Foods","7047c9bd-2aac-4de8-ba81-816b22b7192f","Carry deal speech expert.","-41.33","My account"
"2023-02-12","GameStop","9bc355ab-f145-4284-b090-ad84ddceca73","Remain argue concern produce character.","-1275.63","My account"
"2023-02-12","Whole Foods","52cbca5e-f8a2-4a26-9d20-b5610065f64a","Design live wide effort coach job.","-280.07","Our account"
"2023-02-13","Spectrum","a24ecf3d-3735-4e1b-bd5f-98f1227c1220","Reduce during truth begin agency bad production.","-516.76","My account"
"2023-02-13","Starbucks","a23c0bb9-e4f5-4a1d-9824-2a89756c9e8a","Still garden TV simple before.","-75.52","Our account"
"2023-02-13","Whole Foods","89cbdb5a-d6ab-49a4-a115-293b274b8064","Like real same letter cover data.","-255.25","My account"
"2023-02-13","CVS Pharmacy","e8dfa076-c065-4b0f-827b-af817ea064b6","Degree international toward sea eat enjoy.","-84.27","My account"
"2023-02-13","Target","e9a734c6-8629-4656-92fc-2349cefdebc6","Administration sing good heart.","-304.71","Our account"
"2023-02-13","GameStop","fd660faf-b85f-43b9-8bc7-109546f72571","Remember station perhaps cold Mrs.","-664.23","Our account"
"2023-02-13","Walmart","31064981-ebfb-4037-b153-316da52593de","Material situation analysis plant.","-237.35","My account"
"2023-02-14","Wayfair","e5c320c8-4d98-44f3-b414-478f60eeea6a","Song build image certainly simply tax hundred.","-199.10","Our account"
"2023-02-14","Home Depot","89a31409-d03e-4e56-ac0d-ad311e89b7ea","Run situation weight affect.","-289.39","My account"
"2023-02-14","Rite Aid","98554201-5b8e-4bbe-96f3-5b959d882573","Research traditional across task seek bill.","-91.56","My account"
"2023-02-15","Bank of Rome","e1717f1b-91f4-4c09-8aa2-ed31b11596ed","Improve read whose idea who high star loss.","-960.21","Our account"
"2023-02-15","Netflix","671e7604-e909-484b-8f72-b009af3d7e19","Risk sign attention.","-54.97","Our account"
"2023-02-16","Publix","c4c8dfb9-91b5-471e-b091-c8d23a717a7b","High yeah eye lose step.","-446.71","My account"
"2023-02-16","My Company","b9c2ddab-3eb5-46e9-a200-3dadcd096d4c","Learn law its finally American among.","31881.30","My account"
"2023-02-16","Kroger","a846fb4f-0907-42fa-8b91-50532c81b067","Type teacher one on subject letter.","-651.61","My account"
"2023-02-17","Verizon","76220459-5eff-45a3-8fc5-cb2d3f58803a","Success option itself onto.","-533.61","My account"
"2023-02-18","Home Depot","a81a362b-0f40-464d-a706-68b4f3a2c19d","Participant how anyone professor song.","-1198.34","My account"
"2023-02-18","Aldi","41d3cbae-eed0-450c-98f5-902670a10826","Price five open individual dream him.","-227.96","Our account"
"2023-02-19","Trader Joe's","c5f84ba4-20d6-436d-b53d-5be226d8f7a2","Same care at entire cup.","-362.57","My account"
"2023-02-19","Publix","6ae25d2e-cf07-4ac2-90a0-4d05d9f7d414","Voice agreement big simply relationship.","-232.36","Our account"
"2023-02-20","Subway","c5277147-b2c4-4fdb-ab74-edb0ef9d38cb","Phone out draw might window.","-94.72","Our account"
"2023-02-21","Walgreens","b15a4596-670a-4d80-a5f4-5b914db6986f","Agent model economic later item.","-56.49","Our account"
"2023-02-21","Udemy","af1c1e4f-30d8-4732-803c-4b6fa418a521","Morning nearly still.","-592.24","Our account"
"2023-02-22","My Company","b5751698-53c6-4ace-b2dc-f829ed5d171b","Other finish military agency idea system tend.","32969.89","My account"
"2023-02-22","Coursera","d0d57a97-adba-4adc-8427-b67bd1ea84a7","Direction seven security any building.","-526.43","My account"
"2023-02-22","Kaiser Permanente","435bafd9-64df-4eb0-883c-5af3f13a89fd","Thank since out tell particularly will.","-133.28","My account"
"2023-02-22","Bank of Rome","94dff136-ec30-40c9-b2ae-5fda578305b0","Law seat exist child. Southern interesting wrong.","-1349.11","Our account"
"2023-02-23","Chipotle","d987add8-1c4b-497d-9796-f74e39d1e0a2","Expert at executive less key production.","-107.49","My account"
"2023-02-23","Publix","49beca8e-f5e5-4513-a11d-c10d3821abda","Degree listen source.","-244.87","Our account"
"2023-02-24","Whole Foods","caa7f62f-4726-4695-ac5d-ac5e2456cd1f","Debate education wind light.","-165.54","My account"
"2023-02-24","Aldi","9c32fa0d-6a8f-4afb-b322-e4f4364012cf","Hit she high up else successful form live.","-164.92","My account"
"2023-02-24","Netflix","973b3d59-c33d-495b-9108-db141db65ecf","Note under effort thus much.","-43.45","Our account"
"2023-02-25","Walmart","291b4438-228b-477c-a59f-7888183096a5","They know raise yourself support.","-102.37","Our account"
"2023-02-25","Walgreens","7e935754-0dbe-49e5-a7af-a5af78549d12","Actually probably easy will leader.","-16.80","Our account"
"2023-02-25","Wayfair","fad08c9c-73dc-4843-9f53-864dd32e55a7","Level other family him be.","-40.68","Our account"
"2023-02-25","Amazon Prime","e93b1ef7-f8f1-4b37-bc6b-c0afe167c394","Move vote rather structure land leave.","-56.66","Our account"
"2023-02-25","Disney+","965f0c4b-004b-47ca-bc7f-8856217d402a","Woman home leave school leader goal.","-64.55","My account"
"2023-02-26","Bed Bath & Beyond","3882cb8a-4eb3-432f-ab79-ed8cb0f74b6c","Seek company help.","-70.62","My account"
"2023-02-26","Disney+","a21eb27f-cae5-4c92-95ef-e40476ec4405","Anything at create themselves though.","-44.67","My account"
"2023-02-26","Walmart","55ddfda8-17c2-4926-865d-174bf50d02d9","Set gun trip scientist executive effect.","-375.69","My account"
"2023-02-26","Publix","ddf4d2fc-afc6-40b4-b1b5-0eb2340704f4","Little evidence night fly base company.","-256.30","My account"
"2023-02-26","Bed Bath & Beyond","1dd9e6e5-51ea-4248-9b77-23cad6063ed7","Let fast say long same body.","-554.92","Our account"
"2023-02-26","McDonald's","fe9c0e29-2074-45d8-ab68-7f99a136b903","Federal daughter reflect deal pay imagine.","-80.73","My account"
"2023-02-27","Safeway","40fd952a-97ec-4248-9fab-ff01876d396b","Purpose among watch someone scene.","-416.61","Our account"
"2023-02-27","Coursera","651f9ae3-e2fa-4cba-afd5-ab3c444e150f","Threat peace family table decade.","-637.87","My account"
"2023-02-27","Kroger","dad2a928-ae42-4acc-9065-d56a14a22827","Care here player draw worker.","-140.21","My account"
"2023-02-28","Publix","5119e5b4-edd0-4bcd-805b-f90e421b03c0","Consider main buy yeah month.","-491.05","Our account"
"2023-02-28","Safeway","71e08d81-b43c-40ae-8ca3-d3ab48be59a3","Tough century very left. Recently most yard hear.","-127.51","My account"
"2023-02-28","AMC Theatres","5b27f24c-9737-4c9a-8f72-e9d545e95147","Tell hotel nearly spend lead power.","-435.43","My account"
"2023-02-28","Kroger","84afed0e-19bc-4320-a33c-30bcf96bbe27","Performance dark responsibility.","-91.93","My account"
"2023-03-01","Bank of Rome","d3656f13-e865-4be5-89ff-840c410aeccd","Instead until answer people result good.","-903.76","My account"
"2023-03-01","Bank of Rome","e936270f-5ecb-4219-9216-dee610634d4a","State because join state.","-776.00","Our account"
"2023-03-01","Target","e40cd03f-dcc3-4ed1-87dd-7448a4cdd95b","Minute organization above score game.","-104.68","Our account"
"2023-03-02","Trader Joe's","6c3225dc-096c-4e1b-a24b-00429315ad7a","Create require it later south.","-373.81","My account"
"2023-03-02","Target","5dce519d-478f-4cba-817c-352efca981ee","Senior manager let quality nation small.","-333.69","My account"
"2023-03-02","Whole Foods","2b633adc-ad81-4fdd-86d0-d2b2f3d54862","Might society page war reflect child.","-104.84","Our account"
"2023-03-02","T-Mobile","60bc733e-0fc2-424a-a708-2b1a6eeda7b0","Save although least phone.","-505.58","Our account"
"2023-03-03","Chipotle","0b04e0b1-8181-443e-a0b6-a2f8130ca438","Democratic western mean pick leg a coach.","-78.66","My account"
"2023-03-03","Netflix","d8879c56-f532-45e4-a89d-d05ea6f1d35f","Choice board thing today impact.","-28.69","My account"
"2023-03-03","AMC Theatres","fcbd0a40-0af9-411c-8c4c-42f16c06b9ef","Box me set will car.","-756.00","Our account"
"2023-03-03","Bank of Rome","d46955f7-324f-48cd-8839-d55163547d7d","Choice majority security decide.","-1031.92","My account"
"2023-03-04","Home Depot","89fa2996-b744-4f69-83ed-1903870026a2","Discussion watch change today south enjoy base.","-787.45","Our account"
"2023-03-04","AMC Theatres","5cdfc29e-531a-4c85-a4c5-e252e08110e4","Job late say play. As defense away give pattern.","-34.00","Our account"
"2023-03-04","AT&T","670f64d4-3b89-4a40-9fb9-e207ebd7cd88","Happy can federal table remain pretty.","-439.05","Our account"
"2023-03-05","Bank of Rome","daa407c3-98b5-4419-9884-1af23bb9d4e0","Store why standard baby. Set off class.","-1190.16","Our account"
"2023-03-05","Bank of Rome","de85b5b5-7a90-43b3-8fc6-47cce1d593b0","Share drug admit she best front when.","-1012.77","My account"
"2023-03-06","IKEA","d9338c8b-9e3f-4111-88af-4f3e1f9acfe7","Congress institution meeting speak call section.","-791.17","Our account"
"2023-03-06","AMC Theatres","d297f43f-fe9f-4ac4-a9fb-333f9f3c331d","Party play join whether painting town kid.","-90.36","Our account"
"2023-03-06","Subway","0d6bde7f-aa8d-4713-85aa-3ec1fb76b023","Face tax spring fight quality change shake.","-25.27","My account"
"2023-03-06","Bank of Rome","30c7dd88-cf5d-4f5c-a5fb-c45d4b3ac15e","Player skill dark respond this yet main.","-957.54","My account"
"2023-03-06","IKEA","f8d1c8d7-4f04-48a8-8dfe-ffbdb9649ad6","General thus against here watch human decision.","-577.49","Our account"
"2023-03-07","Publix","93a71eac-39ab-4b0a-92d2-f837a445c2ea","Hand power better cold.","-48.83","My account"
"2023-03-07","Walgreens","589fd8c4-2fdb-4bd8-b297-6ed938869679","Front off identify.","-136.92","My account"
"2023-03-07","Comcast (Xfinity)","13730b42-1533-451b-be85-5d0df9dc98be","Budget great let keep.","-521.64","My account"
"2023-03-07","Home Depot","3e0b16ac-2f6c-4e5e-8317-e94a40dd717d","Floor who property run use happen.","-219.84","Our account"
"2023-03-07","Hulu","6d32def2-dd7a-4089-944c-838a7015e109","Thing focus event fast pattern use doctor.","-64.78","Our account"
"2023-03-08","Bank of Rome","b332a257-28b6-4de8-aa58-eaaf59c380a2","Possible south buy interesting knowledge check.","-1070.18","Our account"
"2023-03-08","Walmart","d3cf3a82-dbd4-4d5d-adc9-10d3dfdc0f1b","Tell be usually list. Wait pattern help enter.","-142.90","My account"
"2023-03-08","Disney+","1951ee88-6d9b-46c3-ad0e-fd238770f2b1","Enough gas smile before all risk industry.","-61.10","Our account"
"2023-03-08","Starbucks","6f325abf-de71-465e-907d-e33e41144b2a","Spend common region already ask that.","-76.43","Our account"
"2023-03-09","Safeway","435c269e-1345-48fe-9a29-8eaa340e166d","Feeling hour watch this every too.","-439.14","Our account"
"2023-03-10","Publix","5e63933c-cb5b-4df9-a734-cf26cda0a7c5","Report TV manager dog machine mention rate.","-357.06","Our account"
"2023-03-11","Starbucks","51aaede4-ac15-4384-858b-62f9eb22c264","Effect dream test pressure project six market.","-58.97","My account"
"2023-03-11","Walgreens","f832c1ca-8aae-4749-afd3-e4be1183f11d","Forget human learn building situation tree.","-239.45","Our account"
"2023-03-12","CVS Pharmacy","70f7045f-3efe-43fe-ab82-143f14949b42","Ago simple marriage professional.","-203.32","My account"
"2023-03-12","Walgreens","a11b21d4-69d2-4bbd-9355-082b629ddf11","Deal military black room how student already arm.","-316.41","Our account"
"2023-03-12","My Company","06738fde-6430-4e62-9b2b-5fdc5263aa51","Same institution face guy ten.","29616.32","Our account"
"2023-03-13","Wayfair","9668e984-543d-4ab4-a255-ece4ef8b8be9","Hard more time student partner chance.","-174.03","My account"
"2023-03-13","T-Mobile","082c4e9f-f84c-453e-8b5f-540aa8d1cab2","Partner situation air.","-554.75","Our account"
"2023-03-14","Whole Foods","8fc68117-ebe3-42a0-8f28-5a40130dab09","Alone run single experience tough research.","-245.31","My account"
"2023-03-15","HBO Max","e19d5ca3-0fcc-4a0d-8f71-1fc2e0768170","Car night concern cut write ago report.","-41.55","My account"
"2023-03-15","Walmart","626d438f-7192-447b-88ce-f8110e01b172","Very baby around during nearly.","-345.99","My account"
"2023-03-15","Target","f6c1506f-0d9c-4e97-befe-deb3106eee54","School summer common consider.","-265.00","My account"
"2023-03-17","Costco","edfbd6a6-edd0-4ec6-aed1-1f38e48e8bcb","Design agent already something outside.","-51.28","My account"
"2023-03-17","Trader Joe's","82669fd2-f3ba-44e4-a74c-530c689fac10","Range write behind city face six former.","-150.93","My account"
"2023-03-18","AMC Theatres","83dea63a-025a-4ef5-ae0e-17b308114787","Sort language law great west analysis.","-587.22","My account"
"2023-03-18","Bank of Rome","013f77b2-0d49-4551-8a02-8a52f7e1f261","Everyone still knowledge knowledge light color.","-914.58","Our account"
"2023-03-18","Trader Joe's","96f8848a-a143-43b6-a603-2119e533fa90","Record station should dream.","-76.50","My account"
"2023-03-18","Publix","a121d2ef-6c6a-43d3-ba92-66ec6b8fcae1","While author against establish image company.","-283.41","Our account"
